sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
der direktor sieht gern fernsehprogramme und sieht gern fernsehprogramme,-65.8662109375,-57.384002685546875,-64.03840637207031,-69.29930114746094,-79.2154769897461,-73.72695922851562,-60.96986770629883,-45.63985824584961,-54.53152084350586,-64.14136505126953,-78.16243743896484,-72.11902618408203,-80.70086669921875,-61.257598876953125,-72.0090103149414,-81.2264633178711,-81.17314910888672,-86.82044982910156
der direktor sieht gern fernsehprogramme und sehen gern fernsehprogramme,-71.26593017578125,-62.78891372680664,-70.059326171875,-70.60816955566406,-75.80772399902344,-77.8159408569336,-65.75792694091797,-49.085914611816406,-58.64287567138672,-66.22158813476562,-75.29690551757812,-78.72929382324219,-87.22483825683594,-64.87073516845703,-79.91041564941406,-84.72280883789062,-88.28697967529297,-89.03826904296875
der direktor sieht gern fernsehprogramme und ist zwanzig jahre alt,-68.51961517333984,-66.0976791381836,-74.00373077392578,-65.31645202636719,-66.66893005371094,-69.96125030517578,-68.91551208496094,-61.11209487915039,-70.81217193603516,-65.49747467041016,-68.15723419189453,-67.21173858642578,-88.87176513671875,-71.76326751708984,-86.63402557373047,-65.57108306884766,-71.25973510742188,-71.31754302978516
der direktor sieht gern fernsehprogramme und sind zwanzig jahre alt,-70.38290405273438,-68.03087615966797,-76.73979187011719,-67.39210510253906,-70.49036407470703,-69.7728271484375,-73.81494903564453,-62.852535247802734,-75.92778778076172,-66.40416717529297,-71.22418212890625,-68.30079650878906,-87.71957397460938,-70.03079986572266,-84.30517578125,-64.29450225830078,-68.96868896484375,-71.16300201416016
der direktor sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-101.76187896728516,-96.90081787109375,-103.85343170166016,-116.60240936279297,-116.28089141845703,-115.3975830078125,-104.55583953857422,-90.40019989013672,-101.37850952148438,-119.37052917480469,-121.13011169433594,-115.81156921386719,-138.13894653320312,-114.16886901855469,-135.9183807373047,-107.904541015625,-110.80976104736328,-110.34992980957031
der direktor sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-103.3284912109375,-103.00421905517578,-107.5809555053711,-114.86876678466797,-114.3786392211914,-111.63117218017578,-105.85985565185547,-99.50871276855469,-107.10936737060547,-113.95331573486328,-117.09302520751953,-110.18968200683594,-143.19686889648438,-117.78589630126953,-142.05142211914062,-107.84648132324219,-112.32319641113281,-114.79271697998047
der direktor sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-109.87434387207031,-101.15000915527344,-112.673095703125,-84.14019775390625,-86.77759552001953,-87.82136535644531,-105.9539566040039,-95.1844482421875,-104.82742309570312,-82.07662200927734,-88.62492370605469,-88.9229965209961,-126.70623779296875,-117.6113052368164,-125.65303039550781,-71.95398712158203,-75.26904296875,-74.83727264404297
der direktor sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-111.21623229980469,-104.69866943359375,-111.70540618896484,-86.07044982910156,-87.05388641357422,-88.94957733154297,-108.69995880126953,-101.50515747070312,-106.0932846069336,-86.92919921875,-91.78673553466797,-91.47865295410156,-128.97349548339844,-120.24699401855469,-126.75531005859375,-71.93698120117188,-73.14363098144531,-75.50959777832031
der bauer sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-75.76410675048828,-70.78680419921875,-81.60628509521484,-77.0267562866211,-78.34087371826172,-75.19635009765625,-81.7507553100586,-64.71495819091797,-85.77099609375,-74.83594512939453,-81.26924896240234,-73.16544342041016,-97.96621704101562,-87.16946411132812,-94.29106140136719,-81.8145523071289,-88.87877655029297,-87.38536834716797
der bauer sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-80.04765319824219,-70.21763610839844,-82.1286392211914,-75.55596160888672,-75.98362731933594,-76.07896423339844,-88.35145568847656,-71.10514068603516,-85.68202209472656,-72.20228576660156,-79.41024780273438,-74.20709991455078,-95.82103729248047,-81.26317596435547,-87.97492980957031,-75.25114440917969,-79.77483367919922,-74.68268585205078
der bauer sieht gern fernsehprogramme und sieht gern fernsehprogramme,-55.38884353637695,-45.10711669921875,-45.652034759521484,-69.4367904663086,-76.89044952392578,-70.31534576416016,-53.60383605957031,-28.220138549804688,-45.39140701293945,-63.250057220458984,-76.18211364746094,-70.11236572265625,-57.321983337402344,-41.92276382446289,-43.62672424316406,-82.65151977539062,-84.26325988769531,-87.66673278808594
der bauer sieht gern fernsehprogramme und sehen gern fernsehprogramme,-62.00367736816406,-50.65222930908203,-52.332855224609375,-71.41829681396484,-73.91573333740234,-74.60929107666016,-58.950531005859375,-32.471153259277344,-49.312095642089844,-65.53155517578125,-74.38134002685547,-76.3908920288086,-64.75959777832031,-46.856903076171875,-52.31436538696289,-87.17799377441406,-92.06220245361328,-90.00672912597656
der bauer sieht gern fernsehprogramme und ist zwanzig jahre alt,-57.55968475341797,-53.89453887939453,-57.62941360473633,-62.9229736328125,-62.10714340209961,-64.37825012207031,-62.89934539794922,-48.007957458496094,-59.21039581298828,-60.58108901977539,-63.276493072509766,-62.46440124511719,-65.03031921386719,-53.52454376220703,-64.7693099975586,-66.92269134521484,-75.41092681884766,-72.98348999023438
der bauer sieht gern fernsehprogramme und sind zwanzig jahre alt,-60.017799377441406,-55.45283508300781,-60.79143142700195,-64.71285247802734,-65.65132141113281,-64.68193817138672,-68.20922088623047,-49.59972381591797,-62.668479919433594,-61.39755630493164,-66.27619934082031,-63.69240188598633,-63.892356872558594,-51.24626159667969,-61.68968200683594,-65.74683380126953,-73.2824478149414,-72.94432830810547
der bauer sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-89.64004516601562,-76.64120483398438,-86.86857604980469,-115.37803649902344,-113.47898864746094,-112.66462707519531,-93.8915786743164,-75.4966049194336,-87.89828491210938,-116.65129852294922,-118.2809066772461,-114.1399917602539,-113.38378143310547,-95.88584899902344,-109.51947784423828,-107.4414291381836,-112.60553741455078,-110.4626693725586
der bauer sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-91.86567687988281,-84.24456787109375,-91.27470397949219,-112.42391967773438,-111.26937866210938,-107.59446716308594,-97.69342041015625,-83.09849548339844,-90.55722045898438,-109.31394958496094,-113.73487091064453,-106.59044647216797,-117.40853118896484,-98.42171478271484,-115.28864288330078,-107.7712631225586,-113.62596130371094,-114.45044708251953
der bauer sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-98.77033233642578,-89.91023254394531,-94.34838104248047,-82.56848907470703,-84.294189453125,-83.86263275146484,-99.3968276977539,-82.66777038574219,-92.1132583618164,-78.32565307617188,-85.82181549072266,-85.5606918334961,-97.69081115722656,-98.46208190917969,-99.34864807128906,-72.32840728759766,-77.1323471069336,-75.45852661132812
der bauer sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-100.98382568359375,-95.37657165527344,-94.17558288574219,-84.19696807861328,-84.67188262939453,-84.7503433227539,-103.32389068603516,-92.2311019897461,-93.61524963378906,-82.57907104492188,-89.1976318359375,-87.54649353027344,-99.70799255371094,-101.33777618408203,-101.59403991699219,-72.00909423828125,-75.46866607666016,-75.84806060791016
der chirurg sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-92.93649291992188,-88.5238265991211,-99.40483093261719,-73.93002319335938,-76.71073913574219,-77.7409439086914,-96.2957534790039,-88.5832748413086,-101.84888458251953,-74.50270080566406,-76.75395202636719,-75.44322204589844,-127.4278564453125,-107.84627532958984,-120.14604187011719,-77.2901611328125,-81.45384216308594,-84.50334930419922
der chirurg sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-95.50878143310547,-88.31312561035156,-98.67144775390625,-72.78402709960938,-74.81204223632812,-79.29124450683594,-101.22237396240234,-93.43731689453125,-104.17876434326172,-72.2896728515625,-76.0632095336914,-77.99520874023438,-124.17002868652344,-101.48750305175781,-114.80950164794922,-70.95873260498047,-72.92649841308594,-71.36688232421875
der chirurg sieht gern fernsehprogramme und sieht gern fernsehprogramme,-71.78128814697266,-62.436546325683594,-64.53260803222656,-68.0154800415039,-76.0780029296875,-73.45298767089844,-68.77252197265625,-55.565853118896484,-55.40074157714844,-65.14629364013672,-73.05191802978516,-72.66111755371094,-74.392578125,-60.04885482788086,-68.70328521728516,-80.58567810058594,-78.64984130859375,-85.24156951904297
der chirurg sieht gern fernsehprogramme und sehen gern fernsehprogramme,-76.91228485107422,-68.02310943603516,-72.18840026855469,-71.38317108154297,-73.37337493896484,-79.29467010498047,-73.48075866699219,-59.77604675292969,-62.04476547241211,-68.42408752441406,-71.10848999023438,-80.33057403564453,-83.35884094238281,-63.91249465942383,-77.82466125488281,-84.31536102294922,-85.92137145996094,-87.69083404541016
der chirurg sieht gern fernsehprogramme und ist zwanzig jahre alt,-73.52879333496094,-71.21147918701172,-73.58982849121094,-60.95466613769531,-62.5584716796875,-66.69212341308594,-79.74173736572266,-71.38308715820312,-74.50938415527344,-63.0511589050293,-61.724098205566406,-63.63867950439453,-91.55726623535156,-73.21653747558594,-88.64443969726562,-64.37052917480469,-68.83015441894531,-69.3006820678711
der chirurg sieht gern fernsehprogramme und sind zwanzig jahre alt,-76.00224304199219,-73.69454956054688,-77.13469696044922,-63.251304626464844,-66.0120620727539,-67.94831085205078,-83.94841003417969,-73.639404296875,-80.16309356689453,-63.63026809692383,-64.91866302490234,-66.53919219970703,-89.80852508544922,-70.5898666381836,-86.93009185791016,-62.92854690551758,-66.7326431274414,-69.22938537597656
der chirurg sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-106.07130432128906,-97.33991241455078,-103.61848449707031,-116.21348571777344,-116.21075439453125,-116.4140396118164,-108.7254409790039,-97.33016967773438,-104.00284576416016,-121.47599792480469,-121.21074676513672,-118.5041275024414,-144.3407440185547,-118.60804748535156,-138.13735961914062,-105.56853485107422,-107.42528533935547,-108.2436294555664
der chirurg sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-109.23072814941406,-105.55581665039062,-107.34999084472656,-113.26641082763672,-114.15033721923828,-112.50496673583984,-112.98683166503906,-108.1414794921875,-107.1058120727539,-115.47535705566406,-116.80726623535156,-112.31767272949219,-147.75390625,-121.16323852539062,-144.20437622070312,-105.10624694824219,-108.62362670898438,-111.92141723632812
der chirurg sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-115.129150390625,-106.86978149414062,-113.58516693115234,-81.4474105834961,-83.1968994140625,-88.4967041015625,-113.4013442993164,-104.90336608886719,-105.34795379638672,-80.85099029541016,-81.50833129882812,-89.7571792602539,-124.39192199707031,-120.40540313720703,-124.85693359375,-69.987060546875,-71.81798553466797,-73.02571868896484
der chirurg sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-117.47030639648438,-111.75597381591797,-113.11959838867188,-83.03968048095703,-83.28742980957031,-90.70350646972656,-115.9984359741211,-111.7344741821289,-108.40345001220703,-85.24050903320312,-84.6554183959961,-93.3279800415039,-128.27793884277344,-123.1620101928711,-127.41081237792969,-69.54082489013672,-70.31037902832031,-74.15132904052734
der senator sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-95.1817855834961,-92.31140899658203,-102.3386459350586,-72.52555084228516,-77.61659240722656,-77.17060089111328,-102.76756286621094,-96.8918685913086,-108.59396362304688,-71.48583221435547,-77.70321655273438,-76.7973861694336,-124.31924438476562,-108.72373962402344,-118.27173614501953,-80.65628051757812,-87.05520629882812,-84.9778060913086
der senator sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-97.43238830566406,-91.8984375,-102.2573471069336,-71.5179214477539,-75.11860656738281,-78.02725219726562,-106.50392150878906,-100.64117431640625,-111.12303924560547,-69.28530883789062,-75.40348815917969,-77.9135971069336,-121.38442993164062,-103.13609313964844,-111.34703063964844,-74.66755676269531,-78.16947937011719,-72.29418182373047
der senator sieht gern fernsehprogramme und sieht gern fernsehprogramme,-71.39588928222656,-68.30883026123047,-69.25434112548828,-64.03852844238281,-76.21133422851562,-72.40738677978516,-73.3414306640625,-63.33181381225586,-67.4139404296875,-58.29368591308594,-72.80845642089844,-72.45904541015625,-81.41704559326172,-63.82164764404297,-71.40032958984375,-82.09986114501953,-82.168212890625,-85.09284973144531
der senator sieht gern fernsehprogramme und sehen gern fernsehprogramme,-76.57787322998047,-73.34478759765625,-75.85400390625,-66.413330078125,-73.0801010131836,-76.7727279663086,-76.30242919921875,-66.5699462890625,-71.46424102783203,-60.92317199707031,-70.43924713134766,-79.5514144897461,-89.54119873046875,-66.7862548828125,-78.30692291259766,-85.6508560180664,-89.67500305175781,-87.52012634277344
der senator sieht gern fernsehprogramme und ist zwanzig jahre alt,-72.40264892578125,-75.53355407714844,-77.95125579833984,-59.6314697265625,-63.40730667114258,-69.01228332519531,-78.50004577636719,-77.7844467163086,-83.43962860107422,-59.16627883911133,-62.33773422241211,-68.11060333251953,-91.26194763183594,-74.42369079589844,-86.93096160888672,-65.71931457519531,-73.23836517333984,-69.8563232421875
der senator sieht gern fernsehprogramme und sind zwanzig jahre alt,-74.66327667236328,-77.54408264160156,-80.45609283447266,-61.93133544921875,-67.03720092773438,-69.57182312011719,-83.82697296142578,-80.85164642333984,-87.61201477050781,-59.77194595336914,-65.77769470214844,-69.33672332763672,-89.99755859375,-72.01080322265625,-84.13253784179688,-64.70740509033203,-70.43949127197266,-69.64937591552734
der senator sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-112.35173797607422,-102.2443618774414,-107.67616271972656,-111.43243408203125,-112.18860626220703,-113.21633911132812,-119.65186309814453,-105.76692962646484,-113.01146697998047,-113.04942321777344,-115.40210723876953,-115.7422103881836,-142.32830810546875,-118.54512786865234,-134.16526794433594,-107.66731262207031,-110.82039642333984,-108.51791381835938
der senator sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-112.67646026611328,-109.39117431640625,-110.60295867919922,-108.94364929199219,-111.24224853515625,-110.53752136230469,-122.59244537353516,-112.8624038696289,-116.04138946533203,-106.36785125732422,-111.87236022949219,-109.97854614257812,-146.48841857910156,-121.23150634765625,-139.47547912597656,-108.06866455078125,-112.15106964111328,-112.838623046875
der senator sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-113.63565826416016,-109.86804962158203,-117.74397277832031,-79.59990692138672,-82.93917083740234,-86.355712890625,-115.90966796875,-112.03519439697266,-114.47348022460938,-76.8686294555664,-81.76879119873047,-88.48487091064453,-122.65663146972656,-119.98226165771484,-120.5378646850586,-72.10991668701172,-75.46826171875,-72.76310729980469
der senator sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-115.43754577636719,-114.17279052734375,-116.62544250488281,-81.61415100097656,-83.31436920166016,-87.69796752929688,-118.2498779296875,-116.94462585449219,-115.7547836303711,-81.29710388183594,-85.94296264648438,-91.2126235961914,-125.22777557373047,-121.43130493164062,-120.61766815185547,-71.75225830078125,-72.86656188964844,-73.56290435791016
der lehrer sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-80.74920654296875,-72.60102844238281,-82.7925796508789,-74.39356994628906,-78.05658721923828,-75.94559478759766,-84.54423522949219,-66.8477554321289,-82.16336059570312,-73.62740325927734,-78.6130599975586,-72.23612213134766,-96.49208068847656,-86.34844207763672,-94.06756591796875,-79.5085220336914,-86.26282501220703,-83.08370971679688
der lehrer sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-83.34248352050781,-71.19273376464844,-82.86287689208984,-73.79627227783203,-75.8038101196289,-77.10784149169922,-90.59735107421875,-73.45658874511719,-83.38848876953125,-72.3022232055664,-76.48116302490234,-74.48320770263672,-92.48313903808594,-80.90264129638672,-86.40263366699219,-72.70813751220703,-77.7086181640625,-70.06572723388672
der lehrer sieht gern fernsehprogramme und sieht gern fernsehprogramme,-60.038429260253906,-46.58491897583008,-46.82426834106445,-66.7363510131836,-77.63501739501953,-72.98709106445312,-56.57783508300781,-31.241695404052734,-41.86951446533203,-62.089874267578125,-74.45188903808594,-70.87191772460938,-54.85477828979492,-43.26222229003906,-44.809608459472656,-82.05908966064453,-82.97669982910156,-85.49726104736328
der lehrer sieht gern fernsehprogramme und sehen gern fernsehprogramme,-65.86487579345703,-52.04121017456055,-53.05625915527344,-69.19691467285156,-74.23445892333984,-76.870361328125,-60.319122314453125,-35.254825592041016,-45.40808868408203,-65.11637878417969,-72.08003997802734,-76.82581329345703,-62.838172912597656,-48.380157470703125,-52.96776580810547,-86.58343505859375,-91.22494506835938,-88.05148315429688
der lehrer sieht gern fernsehprogramme und ist zwanzig jahre alt,-60.913665771484375,-55.0723876953125,-58.23442459106445,-61.20895004272461,-64.27326202392578,-66.36510467529297,-63.508697509765625,-49.41939926147461,-57.592620849609375,-61.61053466796875,-62.99811553955078,-63.90166091918945,-62.34812927246094,-53.6575927734375,-62.14796447753906,-65.5426254272461,-73.7415771484375,-69.0267333984375
der lehrer sieht gern fernsehprogramme und sind zwanzig jahre alt,-63.589744567871094,-56.38978576660156,-61.20754623413086,-63.05815124511719,-67.48078155517578,-67.61843872070312,-67.81147766113281,-51.36860275268555,-62.65296173095703,-62.58626174926758,-66.23322296142578,-65.83799743652344,-61.211639404296875,-51.41767883300781,-59.49919891357422,-64.36856079101562,-71.28137969970703,-69.03425598144531
der lehrer sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-99.28480529785156,-82.94438171386719,-90.57421875,-112.60907745361328,-113.39946746826172,-113.5078125,-101.34413146972656,-78.5584487915039,-89.97372436523438,-115.92936706542969,-117.76579284667969,-115.78640747070312,-114.64409637451172,-96.39228057861328,-109.98953247070312,-106.34327697753906,-111.19410705566406,-106.89712524414062
der lehrer sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-100.91810607910156,-89.59614562988281,-94.39456176757812,-109.64566040039062,-112.10577392578125,-109.22926330566406,-103.83352661132812,-85.79841613769531,-91.52243041992188,-108.5425033569336,-113.73509979248047,-108.73235321044922,-117.97636413574219,-99.46528625488281,-115.39578247070312,-106.32638549804688,-112.5182876586914,-110.41512298583984
der lehrer sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-101.64157104492188,-90.15745544433594,-96.13853454589844,-82.23329162597656,-86.25932312011719,-86.64382934570312,-98.4212646484375,-83.28309631347656,-90.87565612792969,-79.64108276367188,-85.22997283935547,-86.38705444335938,-97.67757415771484,-99.56527709960938,-98.32510375976562,-71.73848724365234,-76.25634002685547,-73.41767883300781
der lehrer sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-103.1523208618164,-94.39909362792969,-95.15235900878906,-83.99635314941406,-86.60454559326172,-87.0342788696289,-101.90866088867188,-89.61168670654297,-91.39530944824219,-84.69033813476562,-89.41658782958984,-88.09153747558594,-98.65790557861328,-101.96810150146484,-99.46827697753906,-71.34115600585938,-74.72953033447266,-74.0045166015625
der kunde sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-82.69645690917969,-80.14076232910156,-92.2396469116211,-82.59626007080078,-79.75545501708984,-77.03060913085938,-88.717529296875,-71.78398895263672,-94.91740417480469,-80.09867095947266,-81.96591186523438,-75.3314437866211,-106.32634735107422,-93.77473449707031,-105.0920639038086,-85.36663055419922,-93.46615600585938,-93.90008544921875
der kunde sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-86.7204360961914,-79.48859405517578,-92.29949188232422,-80.89112091064453,-76.80614471435547,-77.44853210449219,-92.80992126464844,-79.944580078125,-96.84954833984375,-77.11334228515625,-79.24004364013672,-76.17971801757812,-102.91250610351562,-88.26290893554688,-99.85188293457031,-78.87435150146484,-85.45213317871094,-81.4339828491211
der kunde sieht gern fernsehprogramme und sieht gern fernsehprogramme,-60.64592742919922,-52.18804931640625,-57.455482482910156,-75.38824462890625,-78.9138412475586,-73.3095932006836,-61.26862335205078,-35.704246520996094,-53.487525939941406,-69.20028686523438,-76.99752807617188,-73.05101013183594,-59.649192810058594,-47.736717224121094,-53.60736846923828,-86.16400146484375,-89.93018341064453,-94.16705322265625
der kunde sieht gern fernsehprogramme und sehen gern fernsehprogramme,-65.89765167236328,-57.59577941894531,-63.50696563720703,-77.30192565917969,-75.85015869140625,-77.70904541015625,-64.39319610595703,-39.417724609375,-56.45741653442383,-70.94439697265625,-75.54850769042969,-79.56107330322266,-67.88887023925781,-52.49945068359375,-64.62797546386719,-90.40390014648438,-98.7188491821289,-96.62512969970703
der kunde sieht gern fernsehprogramme und ist zwanzig jahre alt,-61.740211486816406,-60.85077667236328,-68.30976104736328,-69.35627746582031,-65.23604583740234,-68.98725128173828,-66.85818481445312,-53.68383026123047,-70.94497680664062,-68.0859375,-65.90767669677734,-67.44844055175781,-77.9650650024414,-60.32114028930664,-73.76301574707031,-71.03438568115234,-80.36784362792969,-79.13981628417969
der kunde sieht gern fernsehprogramme und sind zwanzig jahre alt,-64.88660430908203,-62.61402893066406,-71.95370483398438,-71.0149917602539,-68.31082916259766,-69.24392700195312,-72.88483428955078,-55.9981689453125,-77.54969787597656,-68.3382568359375,-68.48666381835938,-68.67216491699219,-77.73777770996094,-59.279144287109375,-72.28158569335938,-70.14591979980469,-78.32469177246094,-79.74717712402344
der kunde sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-97.36237335205078,-87.00212860107422,-96.255615234375,-121.46670532226562,-116.70537567138672,-116.1322250366211,-103.90283203125,-78.27729797363281,-97.5594253540039,-122.11262512207031,-121.67839813232422,-117.76519012451172,-122.77627563476562,-103.29280853271484,-122.35547637939453,-111.90692901611328,-120.26173400878906,-117.30663299560547
der kunde sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-100.705810546875,-94.56846618652344,-100.5771713256836,-118.89540100097656,-114.6486587524414,-111.25985717773438,-107.61022186279297,-87.96505737304688,-101.73895263671875,-115.5690689086914,-117.70268249511719,-110.78926849365234,-127.1487808227539,-107.5699462890625,-128.60154724121094,-112.17904663085938,-120.58755493164062,-121.47643280029297
der kunde sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-103.96935272216797,-95.81462860107422,-107.81368255615234,-90.06330108642578,-86.93770599365234,-87.75965881347656,-104.22765350341797,-85.92072296142578,-103.1054916381836,-86.3465805053711,-88.04004669189453,-89.81263732910156,-108.86309814453125,-106.2806396484375,-110.30183410644531,-76.39139556884766,-81.82063293457031,-81.22781372070312
der kunde sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-106.28091430664062,-100.83221435546875,-106.42138671875,-91.4264907836914,-87.17212677001953,-88.24089050292969,-107.14653015136719,-93.78813171386719,-103.22653198242188,-90.24332427978516,-91.6297836303711,-91.21822357177734,-110.68040466308594,-108.81834411621094,-112.18663787841797,-75.71327209472656,-79.96833038330078,-81.75223541259766
der polizist sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-79.92457580566406,-72.87376403808594,-80.66812896728516,-69.75800323486328,-74.41404724121094,-70.61708068847656,-87.7229232788086,-71.24630737304688,-84.60272216796875,-68.66140747070312,-74.24430084228516,-66.52324676513672,-97.56312561035156,-83.87445068359375,-93.44239044189453,-84.88259887695312,-91.7768783569336,-92.64125061035156
der polizist sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-84.30397033691406,-72.05423736572266,-80.42882537841797,-68.25048065185547,-72.148681640625,-71.71089172363281,-94.59549713134766,-76.27882385253906,-84.42718505859375,-65.86146545410156,-72.36859893798828,-68.03551483154297,-95.64996337890625,-78.48706817626953,-86.7383804321289,-78.11701965332031,-82.29104614257812,-78.47763061523438
der polizist sieht gern fernsehprogramme und sieht gern fernsehprogramme,-60.153839111328125,-46.30086898803711,-44.59347915649414,-62.92601776123047,-73.82704162597656,-67.34049987792969,-60.75728225708008,-32.794532775878906,-42.15045166015625,-57.580718994140625,-69.84014129638672,-64.80317687988281,-58.22726821899414,-39.897674560546875,-44.8661003112793,-85.8045425415039,-86.3896484375,-92.06863403320312
der polizist sieht gern fernsehprogramme und sehen gern fernsehprogramme,-67.95072937011719,-52.24513626098633,-51.758121490478516,-64.43212890625,-71.19185638427734,-72.44039154052734,-66.56300354003906,-37.289337158203125,-48.20860290527344,-59.21222686767578,-68.26750946044922,-72.27584838867188,-67.30770874023438,-45.33830642700195,-52.03831481933594,-89.75406646728516,-93.72413635253906,-94.32820892333984
der polizist sieht gern fernsehprogramme und ist zwanzig jahre alt,-62.2011833190918,-55.20824432373047,-56.99247360229492,-57.210628509521484,-60.267578125,-62.859458923339844,-67.9190902709961,-52.71804428100586,-58.6060791015625,-56.79595947265625,-58.17959213256836,-58.770790100097656,-63.69248962402344,-50.77459716796875,-63.14268493652344,-69.87464141845703,-78.10675048828125,-76.68531036376953
der polizist sieht gern fernsehprogramme und sind zwanzig jahre alt,-64.62027740478516,-56.518333435058594,-59.98990249633789,-58.56680679321289,-63.84119415283203,-63.548614501953125,-73.32897186279297,-54.27323532104492,-63.84778594970703,-56.592079162597656,-61.524105072021484,-60.516014099121094,-62.88982391357422,-48.84653091430664,-60.5745849609375,-68.7905044555664,-75.7063217163086,-76.40354919433594
der polizist sieht gern fernsehprogramme und mag lieber tennis mit seinen kollegen spielen,-96.1991958618164,-81.09578704833984,-88.48514556884766,-109.35795593261719,-111.42947387695312,-109.67644500732422,-102.44843292236328,-83.51611328125,-92.21419525146484,-111.20893859863281,-113.6364974975586,-108.92125701904297,-114.81348419189453,-95.87187194824219,-109.4824447631836,-111.55538177490234,-114.04033660888672,-114.07633209228516
der polizist sieht gern fernsehprogramme und mögen lieber tennis mit seinen kollegen spielen,-99.07789611816406,-88.83878326416016,-92.7488021850586,-105.92796325683594,-109.2520980834961,-105.0865707397461,-106.77906036376953,-91.59796142578125,-95.04325866699219,-103.68499755859375,-109.32678985595703,-101.46725463867188,-119.31387329101562,-98.95030212402344,-115.78068542480469,-111.31810760498047,-115.39728546142578,-118.20284271240234
der polizist sieht gern fernsehprogramme und schreibt jeden tag in seinem journal,-102.83848571777344,-90.89742279052734,-94.04960632324219,-77.31759643554688,-80.86572265625,-80.97088623046875,-105.24723052978516,-85.34278869628906,-90.26966094970703,-74.57392883300781,-79.58534240722656,-81.01866149902344,-100.74522399902344,-97.11827850341797,-99.92144775390625,-76.17636108398438,-78.85966491699219,-79.42265319824219
der polizist sieht gern fernsehprogramme und schreiben jeden tag in seinem journal,-105.86939239501953,-96.54939270019531,-93.8116683959961,-78.77224731445312,-81.32792663574219,-82.81587219238281,-109.3992919921875,-93.68943786621094,-92.52700805664062,-78.58966064453125,-83.36320495605469,-84.44324493408203,-103.3947525024414,-101.24034881591797,-102.40339660644531,-76.5717544555664,-76.3635025024414,-80.68502807617188
der pilot sieht gern fernsehprogramme und spricht viele verschiedene sprachen,-80.64604187011719,-73.13750457763672,-82.57687377929688,-74.5075454711914,-81.8773422241211,-71.8723373413086,-81.79346466064453,-68.45729064941406,-85.47911071777344,-74.33335876464844,-83.4395523071289,-70.00506591796875,-102.75794982910156,-87.69276428222656,-98.26457214355469,-79.66935729980469,-86.07659149169922,-85.20508575439453
der pilot sieht gern fernsehprogramme und sprechen viele verschiedene sprachen,-86.03385925292969,-72.56275177001953,-82.16368865966797,-73.41336059570312,-79.41525268554688,-72.92835235595703,-89.24563598632812,-74.92561340332031,-84.97798156738281,-72.07356262207031,-81.28605651855469,-71.55619049072266,-100.5554428100586,-82.07301330566406,-91.73912811279297,-73.04170989990234,-77.1032485961914,-72.20305633544922
